1
1000 100000
118 984 2
27 910 2
148 504 1
862 777 1
825 615 1
913 551 1
194 685 1
969 552 2
76 97 1
769 543 2
235 796 2
798 651 1
193 131 2
570 11 1
83 814 2
121 704 2
832 107 1
121 382 1
600 284 2
61 172 1
633 20 2
416 892 1
966 432 2
977 330 1
690 652 2
1000 695 1
666 355 1
994 266 1
801 479 2
919 594 2
830 468 2
604 226 1
466 838 2
423 510 2
212 64 1
672 305 2
763 340 1
673 866 2
677 557 2
547 866 1
228 237 1
554 708 2
390 923 2
672 595 1
881 597 2
595 6 1
878 607 2
408 109 1
542 948 1
181 10 1
558 194 2
15 305 2
102 887 2
124 397 1
128 825 1
844 331 2
712 346 1
692 904 1
277 74 2
339 623 1
456 357 1
540 188 1
422 550 2
730 486 1
455 188 2
92 868 2
733 39 2
380 226 2
395 617 2
438 951 1
464 72 1
171 965 1
271 355 2
99 708 1
940 524 2
287 722 2
655 431 2
630 641 2
752 854 1
306 883 1
213 65 1
201 937 2
125 561 1
860 807 1
553 797 1
674 552 1
853 946 1
586 820 1
57 476 2
691 503 1
24 502 2
831 474 2
471 505 2
259 364 2
444 89 1
75 298 2
985 181 1
476 768 2
930 291 1
944 891 1
492 898 1
100 606 2
546 290 1
9 977 1
589 860 2
150 804 2
452 74 1
336 105 2
424 845 1
111 302 2
129 438 2
845 637 1
234 783 1
305 459 2
602 781 2
972 233 2
948 518 2
829 781 2
159 174 1
81 243 1
788 243 1
476 355 2
311 87 1
424 649 1
980 639 1
801 824 2
621 164 2
802 923 1
636 120 2
899 761 1
607 159 1
634 251 2
510 437 2
985 957 1
464 978 2
648 156 2
789 975 2
446 985 1
500 256 1
162 873 2
325 630 2
565 322 1
645 1000 2
563 678 1
107 594 1
846 621 2
601 809 1
420 337 1
440 617 1
847 52 2
7 323 1
531 709 1
538 294 1
770 925 2
617 483 2
128 53 1
744 179 2
32 123 2
52 327 1
63 618 2
224 719 2
241 643 2
662 249 2
213 620 1
748 140 1
552 987 2
154 73 1
552 635 1
147 898 1
308 678 1
193 414 1
314 965 2
923 684 2
110 521 2
112 782 1
89 120 1
416 769 2
576 948 1
80 753 2
383 868 2
669 957 1
276 562 2
969 981 2
598 999 2
338 281 1
88 192 1
570 856 2
805 966 1
586 912 2
742 886 1
559 750 1
859 356 1
425 528 2
380 899 1
61 556 2
828 412 2
636 332 2
218 767 2
37 846 1
441 755 1
717 339 1
89 353 1
882 198 1
871 902 2
305 548 2
813 633 2
46 693 2
137 821 2
404 48 2
320 116 2
115 572 2
582 572 1
690 574 1
855 594 1
818 381 1
818 673 2
549 261 2
860 881 2
415 751 1
199 163 2
89 843 2
370 446 1
313 71 2
377 519 1
842 19 1
230 201 2
249 490 1
897 502 2
59 950 1
689 796 2
847 816 2
155 257 1
748 964 2
91 666 2
33 243 1
687 781 2
470 65 2
108 305 1
307 209 2
449 633 2
742 273 2
200 366 2
47 365 1
416 976 2
332 212 2
659 78 2
296 765 1
617 968 2
800 850 2
572 46 1
242 889 1
503 464 2
66 775 1
826 754 1
718 972 1
536 31 2
284 439 2
265 515 2
424 676 1
65 592 2
971 841 1
371 576 2
467 273 2
572 96 2
274 654 2
757 346 2
171 796 1
987 994 2
476 138 2
940 533 2
605 216 2
566 338 1
233 446 1
551 528 2
865 349 2
725 160 2
249 676 2
675 651 2
836 359 2
514 279 2
939 318 1
783 664 1
538 962 1
899 194 2
422 915 1
472 593 2
955 1 1
324 999 2
126 947 1
365 289 1
487 230 2
102 275 2
965 56 1
755 909 2
495 742 2
189 846 1
765 311 1
238 45 2
258 457 2
68 149 2
917 400 2
296 198 1
204 757 2
77 903 2
8 121 2
149 206 1
659 474 2
987 486 1
451 244 2
440 151 2
793 614 1
733 403 2
594 325 1
833 449 1
145 683 1
534 664 2
390 621 2
42 293 1
663 467 1
117 377 2
985 539 1
145 51 2
603 993 1
3 958 1
289 424 2
97 482 1
968 947 1
865 389 1
272 403 1
142 470 2
644 579 2
719 503 2
452 296 1
492 84 1
268 30 1
605 554 2
888 210 2
213 689 2
363 243 2
111 426 1
298 421 1
387 737 1
849 988 1
217 809 2
938 111 1
418 748 2
840 817 1
729 347 2
684 201 2
211 570 2
842 11 2
394 380 2
982 155 1
168 764 1
151 580 1
756 838 2
579 564 2
235 88 2
414 426 1
189 38 1
574 625 1
713 562 2
670 752 2
212 951 2
738 965 2
338 168 2
53 308 1
467 858 1
298 689 1
156 265 1
2 332 2
51 284 2
956 738 1
929 389 1
693 841 2
641 913 1
453 280 2
569 279 2
558 205 2
555 145 2
287 405 1
779 676 1
435 672 2
139 417 1
790 635 1
843 20 1
546 585 1
723 374 2
368 986 2
46 676 2
428 909 2
885 277 2
220 543 2
525 144 2
511 329 1
782 559 2
538 322 2
780 837 2
13 540 1
307 905 2
476 307 1
234 643 1
540 251 2
950 777 2
546 545 1
94 273 1
944 965 2
88 28 1
411 876 1
708 131 1
377 111 1
353 933 2
96 881 2
355 769 2
31 617 1
350 435 1
728 656 2
257 321 1
10 617 2
311 412 1
329 313 2
667 811 1
655 456 2
46 96 2
6 31 1
592 136 2
221 948 2
818 809 1
139 13 1
467 406 2
180 440 1
980 16 1
747 371 2
650 153 2
686 801 2
867 143 2
831 850 2
314 72 2
183 876 1
328 110 1
518 808 1
904 566 1
352 125 1
772 209 2
911 129 1
94 72 1
495 885 2
979 727 1
527 172 2
290 798 1
408 207 2
431 964 1
374 546 1
144 213 2
636 754 1
706 740 2
329 998 2
854 331 1
410 503 1
942 504 1
623 191 1
968 778 2
314 458 1
739 148 1
58 105 2
588 783 1
972 350 2
239 767 1
256 738 2
175 210 1
759 631 2
328 89 1
222 974 2
913 575 2
30 288 2
388 962 2
84 810 1
154 280 2
287 574 2
901 37 1
985 519 2
760 96 2
297 540 2
630 11 1
441 929 2
56 133 2
24 604 1
773 991 2
537 643 1
441 884 1
743 752 1
391 818 2
56 835 2
489 833 1
869 932 2
702 854 1
529 217 2
975 592 2
659 689 1
242 90 2
547 836 2
26 730 2
408 162 1
248 143 2
343 396 1
855 210 1
807 295 2
787 745 1
118 149 1
567 102 1
340 164 2
63 962 1
754 530 2
947 498 2
56 180 1
841 18 2
74 448 1
727 544 1
429 949 1
483 642 2
256 290 1
36 966 1
809 683 2
715 33 1
251 549 2
406 520 2
420 868 1
890 693 2
866 821 1
594 312 2
519 464 2
366 74 2
35 922 2
600 793 1
980 767 2
648 945 2
625 681 1
75 921 1
848 877 1
408 391 2
389 383 2
848 186 1
667 868 2
766 235 2
299 335 2
6 491 1
312 640 2
904 25 1
711 855 1
503 971 2
730 687 1
603 604 2
600 57 2
125 80 1
891 326 1
889 668 1
8 234 2
94 40 2
332 35 2
666 286 1
408 642 1
303 426 1
7 392 1
833 641 1
885 323 2
982 422 1
980 550 2
483 947 1
953 920 1
464 338 2
106 785 2
903 429 2
399 45 2
290 885 2
90 985 1
746 94 2
832 976 1
789 778 1
950 962 2
257 972 2
241 786 1
664 484 1
585 494 2
951 38 2
924 308 2
730 603 1
668 920 2
174 788 1
688 302 2
488 334 1
572 74 2
215 812 1
346 104 2
852 231 2
372 31 2
558 552 2
850 102 2
181 216 2
388 74 1
166 605 1
634 410 1
402 801 1
159 311 1
965 760 1
380 104 2
363 418 2
56 314 1
590 156 1
324 556 2
369 754 2
137 781 1
508 72 2
62 457 2
132 640 2
284 637 2
199 274 2
727 204 1
931 921 1
673 777 2
710 935 2
98 825 2
406 860 2
344 473 1
713 783 2
606 458 1
511 233 1
85 826 2
826 209 1
668 354 2
557 441 2
654 708 1
348 943 2
679 127 1
528 773 1
566 504 2
161 287 2
629 172 1
868 780 2
59 600 2
801 858 1
717 44 2
87 636 2
61 781 2
863 548 1
389 589 1
152 336 1
728 648 1
767 76 2
380 284 1
848 341 1
749 197 1
920 706 2
21 112 1
887 12 1
432 922 2
454 630 2
104 184 2
543 673 2
785 525 2
166 866 2
971 549 2
895 765 1
953 434 1
293 425 1
575 64 1
748 218 2
628 841 2
708 997 1
293 208 2
988 138 1
388 325 1
777 569 2
48 941 1
369 612 2
331 264 2
169 530 1
857 950 1
410 610 1
438 955 1
354 656 1
336 373 2
829 993 2
298 799 1
539 819 2
853 146 2
145 289 2
712 231 2
235 415 1
575 137 2
937 346 2
988 254 1
248 742 1
588 264 1
384 297 2
340 581 1
646 274 1
65 773 1
962 230 2
957 885 1
481 170 1
100 167 1
82 238 2
302 45 2
955 96 1
695 384 2
772 247 2
593 350 1
265 849 1
464 478 1
695 410 2
103 735 2
294 836 2
141 97 2
118 939 2
530 392 2
967 805 1
74 686 2
555 499 1
170 142 1
698 729 2
922 951 2
220 790 1
392 891 2
146 841 2
954 793 1
992 435 1
257 16 2
843 668 2
415 342 2
406 805 2
418 715 1
420 287 2
932 220 2
256 337 2
750 316 2
516 581 2
466 484 2
229 722 2
638 579 1
529 150 2
145 179 2
801 964 1
585 651 2
998 363 2
121 693 2
799 910 2
231 933 1
800 95 1
308 658 2
234 518 2
954 573 1
925 369 2
567 131 1
442 238 1
669 464 1
46 855 2
101 476 2
233 603 1
951 280 2
926 772 2
170 961 2
785 307 1
629 880 1
481 915 2
73 246 1
295 915 2
432 112 2
824 556 1
791 557 1
361 801 1
813 970 1
83 439 2
640 5 1
214 508 1
77 899 2
527 349 1
982 684 1
132 883 2
847 217 1
430 628 2
934 150 2
477 97 1
198 810 2
250 396 2
402 567 2
636 159 2
567 799 1
825 317 1
933 606 2
275 948 2
843 952 2
97 922 1
290 168 2
733 227 2
49 350 1
467 848 2
374 684 2
503 826 2
428 490 1
332 965 2
728 54 2
76 306 1
776 31 1
445 938 2
150 591 2
577 37 2
883 533 1
265 604 1
906 495 2
810 148 1
408 390 2
383 684 1
736 480 1
598 390 1
